anio;trimestre;sk_shipper;nombre_shipper;telefono_shipper;pais_destino;region_destino;ciudad_destino;envios_realizados;costo_flete_total;costo_flete_promedio;volumen_productos_enviados;ventas_totales_asociadas;ratio_flete_vs_ventas;densidad_poblacion_promedio;pib_promedio_destino;ranking_eficiencia_costo;ranking_volumen_trimestre
1996;3;13;Speedy Express;(503) 555-9831;Venezuela;Lara;Barquisimeto;1;0.36;0.36;57;1050.60;0.03;32;0;1;27
1996;3;14;United Package;(503) 555-3199;Brazil;SP;Sao Paulo;1;1.35;1.35;20;1296.00;0.10;25;0;2;45
1996;3;14;United Package;(503) 555-3199;France;;Strasbourg;1;11.48;11.48;80;1420.00;0.81;119;0;3;15
1996;3;14;United Package;(503) 555-3199;France;;Reims;1;1.15;1.15;4;121.60;0.95;119;0;4;54
1996;3;15;Federal Shipping;(503) 555-9931;Sweden;;Bräcke;1;7.34;7.34;60;695.63;1.06;25;0;5;25
1996;3;13;Speedy Express;(503) 555-9831;Germany;;Münster;1;23.22;23.22;49;1863.40;1.25;240;0;6;32
1996;3;13;Speedy Express;(503) 555-9831;United States;WA;Seattle;1;9.12;9.12;80;642.20;1.42;36;0;7;15
1996;3;13;Speedy Express;(503) 555-9831;France;;Reims;1;12.02;12.02;27;538.60;2.23;119;0;8;40
1996;3;14;United Package;(503) 555-3199;Belgium;;Charleroi;2;172.71;86.35;185;6306.70;2.74;383;0;9;4
1996;3;13;Speedy Express;(503) 555-9831;Sweden;;Luleå;1;26.94;26.94;62;613.20;4.39;25;0;10;23
1996;3;13;Speedy Express;(503) 555-9831;United States;OR;Portland;1;12.69;12.69;20;288.00;4.41;36;0;11;45
1996;3;15;Federal Shipping;(503) 555-9931;Spain;;Madrid;1;22.68;22.68;25;498.50;4.55;94;0;12;43
1996;3;15;Federal Shipping;(503) 555-9931;Brazil;RJ;Rio de Janeiro;1;38.28;38.28;75;819.00;4.67;25;0;13;19
1996;3;14;United Package;(503) 555-3199;United States;OR;Portland;2;36.16;18.08;28;760.00;4.76;36;0;14;39
1996;3;14;United Package;(503) 555-3199;Brazil;SP;Resende;1;27.94;27.94;27;517.80;5.40;25;0;15;40
