sk_venta;sk_cliente;sk_producto;sk_empleado;sk_tiempo;sk_geografia_envio;sk_shipper;precio_unitario;cantidad;descuento;flete;monto_total;nk_orden_id
4327;271;165;23;19960704;313;15;14.00;12;0;32.38;168.00;10248
4328;271;196;23;19960704;313;15;9.80;10;0;32.38;98.00;10248
4329;271;226;23;19960704;313;15;34.80;5;0;32.38;174.00;10248
4330;265;168;24;19960705;379;13;18.60;9;0;11.61;167.40;10249
4331;265;205;24;19960705;379;13;42.40;40;0;11.61;1696.00;10249
4332;220;195;22;19960708;395;14;7.70;10;0;65.83;77.00;10250
4333;220;205;22;19960708;395;14;42.40;35;0.15;65.83;1261.40;10250
4334;220;219;22;19960708;395;14;16.80;15;0.15;65.83;214.20;10250
4335;270;176;21;19960708;288;13;16.80;6;0.05;41.34;95.76;10251
4336;270;211;21;19960708;288;13;15.60;15;0.05;41.34;222.30;10251
4337;270;219;21;19960708;288;13;16.80;20;0;41.34;336.00;10251
4338;262;174;22;19960709;347;14;64.80;40;0.05;51.3;2462.40;10252
4339;262;187;22;19960709;347;14;2.00;25;0.05;51.3;47.50;10252
4340;262;214;22;19960709;347;14;27.20;40;0;51.3;1088.00;10252
4341;220;185;21;19960710;395;14;10.00;20;0;58.17;200.00;10253
4342;220;193;21;19960710;395;14;14.40;42;0;58.17;604.80;10253
4343;220;203;21;19960710;395;14;16.00;40;0;58.17;640.00;10253
4344;200;178;23;19960711;372;14;3.60;15;0.15;22.98;45.90;10254
4345;200;209;23;19960711;372;14;19.20;21;0.15;22.98;342.72;10254
4346;200;228;23;19960711;372;14;8.00;21;0;22.98;168.00;10254
4347;254;156;27;19960712;400;15;15.20;20;0;148.33;304.00;10255
4348;254;170;27;19960712;400;15;13.90;35;0;148.33;486.50;10255
4349;254;190;27;19960712;400;15;15.20;25;0;148.33;380.00;10255
4350;254;213;27;19960712;400;15;44.00;30;0;148.33;1320.00;10255
4351;274;207;21;19960715;394;14;26.20;15;0;13.97;393.00;10256
4352;274;231;21;19960715;394;14;10.40;12;0;13.97;124.80;10256
4353;221;181;22;19960716;355;15;35.10;25;0;81.91;877.50;10257
4354;221;193;22;19960716;355;15;14.40;6;0;81.91;86.40;10257
4355;221;231;22;19960716;355;15;10.40;15;0;81.91;156.00;10257
4356;206;156;19;19960717;378;13;15.20;50;0.2;140.51;608.00;10258
4357;206;159;19;19960717;378;13;17.00;65;0.2;140.51;884.00;10258
4358;206;186;19;19960717;378;13;25.60;6;0.2;140.51;122.88;10258
4359;199;175;22;19960718;397;15;8.00;10;0;3.25;80.00;10259
4360;199;191;22;19960718;397;15;20.80;1;0;3.25;20.80;10259
4361;242;195;22;19960719;384;13;7.70;16;0.25;55.09;92.40;10260
4362;242;211;22;19960719;384;13;15.60;50;0;55.09;780.00;10260
4363;242;216;22;19960719;384;13;39.40;15;0.25;55.09;443.25;10260
4364;242;224;22;19960719;384;13;12.00;21;0.25;55.09;189.00;10260
4365;247;175;22;19960719;393;14;8.00;20;0;3.05;160.00;10261
4366;247;189;22;19960719;393;14;14.40;20;0;3.05;288.00;10261
4367;251;159;26;19960722;299;15;17.00;12;0.2;48.29;163.20;10262
4368;251;161;26;19960722;299;15;24.00;15;0;48.29;360.00;10262
4369;251;210;26;19960722;299;15;30.40;2;0;48.29;60.80;10262
4370;206;170;27;19960723;378;15;13.90;60;0.25;146.06;625.50;10263
4371;206;178;27;19960723;378;15;3.60;28;0;146.06;100.80;10263
4372;206;184;27;19960723;378;15;20.70;60;0.25;146.06;931.50;10263
4373;206;228;27;19960723;378;15;8.00;36;0.25;146.06;216.00;10263
4374;210;156;24;19960724;414;15;15.20;35;0;3.67;532.00;10264
4375;210;195;24;19960724;414;15;7.70;25;0.15;3.67;163.63;10264
4376;193;171;20;19960725;294;13;31.20;30;0;55.28;936.00;10265
4377;193;224;20;19960725;294;13;12.00;20;0;55.28;240.00;10265
4378;273;166;21;19960726;404;15;30.40;12;0.05;25.73;346.56;10266
4379;211;194;22;19960729;345;13;14.70;50;0;208.58;735.00;10267
4380;211;213;22;19960729;345;13;44.00;70;0.15;208.58;2618.00;10267
4381;211;230;22;19960729;345;13;14.40;15;0.15;208.58;183.60;10267
4382;219;183;26;19960730;314;15;99.00;10;0;66.29;990.00;10268
4383;219;226;26;19960730;314;15;27.80;4;0;66.29;111.20;10268
4384;275;187;23;19960731;278;13;2.00;60;0.05;4.56;114.00;10269
4385;275;226;23;19960731;278;13;27.80;20;0.05;4.56;528.20;10269
4386;273;190;19;19960801;404;13;15.20;30;0;136.54;456.00;10270
4387;273;197;19;19960801;404;13;36.80;25;0;136.54;920.00;10270
4388;261;187;24;19960801;387;14;2.00;24;0;4.54;48.00;10271
4389;251;174;24;19960802;299;14;64.80;6;0;98.03;388.80;10272
4390;251;185;24;19960802;299;14;10.00;40;0;98.03;400.00;10272
4391;251;226;24;19960802;299;14;27.80;24;0;98.03;667.20;10272
4392;249;164;21;19960805;402;15;24.80;24;0.05;76.07;565.44;10273
4393;249;185;21;19960805;402;15;10.00;15;0.05;76.07;142.50;10273
4394;249;187;21;19960805;402;15;2.00;20;0;76.07;40.00;10273
4395;249;194;21;19960805;402;15;14.70;60;0.05;76.07;837.90;10273
4396;249;230;21;19960805;402;15;14.40;33;0.05;76.07;451.44;10273
4397;271;225;24;19960806;313;13;17.20;20;0;6.01;344.00;10274
4398;271;226;24;19960806;313;13;27.80;7;0;6.01;194.60;10274
4399;235;178;19;19960807;407;13;3.60;12;0.05;26.93;41.04;10275
4400;235;213;19;19960807;407;13;44.00;6;0.05;26.93;250.80;10275
4401;266;164;26;19960808;339;15;24.80;15;0;13.84;372.00;10276
4402;266;167;26;19960808;339;15;4.80;10;0;13.84;48.00;10276
4403;238;182;20;19960809;373;15;36.40;20;0;125.77;728.00;10277
4404;238;216;20;19960809;373;15;39.40;12;0;125.77;472.80;10277
4405;191;198;26;19960812;343;14;15.50;16;0;92.69;248.00;10278
4406;191;213;26;19960812;343;14;44.00;15;0;92.69;660.00;10278
4407;191;217;26;19960812;343;14;35.10;8;0;92.69;280.80;10278
4408;191;227;26;19960812;343;14;12.00;25;0;92.69;300.00;10278
4409;230;171;26;19960813;381;14;31.20;15;0.25;25.83;351.00;10279
4410;191;178;20;19960814;343;13;3.60;12;0;8.98;43.20;10280
4411;191;209;20;19960814;343;13;19.20;20;0;8.98;384.00;10280
4412;191;229;20;19960814;343;13;6.20;30;0;8.98;186.00;10280
4413;255;173;22;19960814;368;13;7.30;1;0;2.94;7.30;10281
4414;255;178;22;19960814;368;13;3.60;6;0;2.94;21.60;10281
4415;255;189;22;19960814;368;13;14.40;4;0;2.94;57.60;10281
4416;255;184;22;19960815;368;13;20.70;6;0;12.69;124.20;10282
4417;255;211;22;19960815;368;13;15.60;2;0;12.69;31.20;10282
4418;232;169;21;19960816;356;15;12.40;20;0;84.81;248.00;10283
4419;232;173;21;19960816;356;15;7.30;18;0;84.81;131.40;10283
4420;232;214;21;19960816;356;15;27.20;35;0;84.81;952.00;10283
4421;232;226;21;19960816;356;15;27.80;3;0;84.81;83.40;10283
4422;230;181;22;19960819;381;13;35.10;15;0.25;76.56;394.88;10284
4423;230;198;22;19960819;381;13;15.50;21;0;76.56;325.50;10284
4424;230;214;22;19960819;381;13;27.20;20;0.25;76.56;408.00;10284
4425;230;221;22;19960819;381;13;11.20;5;0.25;76.56;42.00;10284
4426;249;155;19;19960820;402;14;14.40;45;0.2;76.83;518.40;10285
4427;249;194;19;19960820;402;14;14.70;40;0.2;76.83;470.40;10285
4428;249;207;19;19960820;402;14;26.20;36;0.2;76.83;754.56;10285
4429;249;189;26;19960821;402;15;14.40;100;0;229.24;1440.00;10286
4430;249;216;26;19960821;402;15;39.40;40;0;229.24;1576.00;10286
4431;253;170;26;19960822;334;15;13.90;40;0.15;12.76;472.60;10287
4432;253;188;26;19960822;334;15;11.20;20;0;12.76;224.00;10287
4433;253;200;26;19960822;334;15;9.60;15;0.15;12.76;122.40;10287
4434;252;208;22;19960823;401;13;5.90;10;0.1;7.45;53.10;10288
4435;252;222;22;19960823;401;13;10.00;3;0.1;7.45;27.00;10288
4436;197;157;25;19960826;363;15;8.00;30;0;22.77;240.00;10289
4437;197;218;25;19960826;363;15;26.60;9;0;22.77;239.40;10289
4438;201;159;26;19960827;338;13;17.00;20;0;79.7;340.00;10290
4439;201;183;26;19960827;338;13;99.00;15;0;79.7;1485.00;10290
4440;201;203;26;19960827;338;13;16.00;15;0;79.7;240.00;10290
4441;201;231;26;19960827;338;13;10.40;10;0;79.7;104.00;10290
4442;247;167;24;19960827;393;14;4.80;20;0.1;6.4;86.40;10291
4443;247;198;24;19960827;393;14;15.50;24;0.1;6.4;334.80;10291
4444;247;205;24;19960827;393;14;42.40;2;0.1;6.4;76.32;10291
4445;267;174;19;19960828;335;14;64.80;20;0;1.35;1296.00;10292
4446;266;172;19;19960829;339;15;50.00;12;0;21.18;600.00;10293
4447;266;178;19;19960829;339;15;3.60;10;0;21.18;36.00;10293
4448;266;217;19;19960829;339;15;35.10;5;0;21.18;175.50;10293
4449;266;229;19;19960829;339;15;6.20;6;0;21.18;37.20;10293
4450;251;155;22;19960830;299;14;14.40;18;0;147.26;259.20;10294
4451;251;171;22;19960830;299;14;31.20;15;0;147.26;468.00;10294
4452;251;197;22;19960830;299;14;36.80;15;0;147.26;552.00;10294
4453;251;214;22;19960830;299;14;27.20;21;0;147.26;571.20;10294
4454;251;229;22;19960830;299;14;6.20;6;0;147.26;37.20;10294
4455;271;210;20;19960902;313;14;30.40;4;0;1.15;121.60;10295
4456;232;165;24;19960903;356;13;16.80;12;0;0.12;201.60;10296
4457;232;170;24;19960903;356;13;13.90;30;0;0.12;417.00;10296
4458;232;223;24;19960903;356;13;28.80;15;0;0.12;432.00;10296
4459;193;193;23;19960904;294;14;14.40;60;0;5.74;864.00;10297
4460;193;226;23;19960904;294;14;27.80;20;0;5.74;556.00;10297
4461;223;156;24;19960905;323;14;15.20;40;0;168.22;608.00;10298
4462;223;190;24;19960905;323;14;15.20;40;0.25;168.22;456.00;10298
4463;223;213;24;19960905;323;14;44.00;30;0.25;168.22;990.00;10298
4464;223;216;24;19960905;323;14;39.40;15;0;168.22;591.00;10298
4465;253;173;22;19960906;334;14;7.30;15;0;29.76;109.50;10299
4466;253;224;22;19960906;334;14;12.00;20;0;29.76;240.00;10299
4467;235;220;20;19960909;407;14;13.60;30;0;17.68;408.00;10300
4468;235;222;20;19960909;407;14;10.00;20;0;17.68;200.00;10300
4469;272;194;26;19960909;331;14;14.70;10;0;45.08;147.00;10301
4470;272;210;26;19960909;331;14;30.40;20;0;45.08;608.00;10301
4471;262;171;22;19960910;347;14;31.20;40;0;6.27;1248.00;10302
4472;262;182;22;19960910;347;14;36.40;28;0;6.27;1019.20;10302
4473;262;197;22;19960910;347;14;36.80;12;0;6.27;441.60;10302
4474;216;194;25;19960911;352;14;14.70;40;0.1;107.83;529.20;10303
4475;216;219;25;19960911;352;14;16.80;30;0.1;107.83;453.60;10303
4476;216;222;25;19960911;352;14;10.00;15;0.1;107.83;135.00;10303
4477;266;203;19;19960912;339;14;16.00;30;0;63.79;480.00;10304
4478;266;213;19;19960912;339;14;44.00;10;0;63.79;440.00;10304
4479;266;225;19;19960912;339;14;17.20;2;0;63.79;34.40;10304
4480;241;172;26;19960913;298;15;50.00;25;0.1;257.62;1125.00;10305
4481;241;183;26;19960913;298;15;99.00;25;0.1;257.62;2227.50;10305
4482;241;193;26;19960913;298;15;14.40;30;0.1;257.62;388.80;10305
4483;255;184;19;19960916;368;15;20.70;10;0;7.56;207.00;10306
4484;255;207;19;19960916;368;15;26.20;10;0;7.56;262.00;10306
4485;255;208;19;19960916;368;15;5.90;5;0;7.56;29.50;10306
4486;234;216;20;19960917;325;14;39.40;10;0;0.56;394.00;10307
